time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
94,73,139,,6950,-7.172279119491577,6.242391521027458e-07,-1.1916146278381348,1.0161464214324951,-0.02045896238833649,0.2,0.10399999991059303,-0.03586947172880173,0.02170251,1380,0.00025,2960.0,9.35e-05
94,74,140,,7000,-7.173427629470825,8.8554696162646e-07,-25.13155174255371,1.0163624286651611,0.0018955273019383156,0.2,0.0019999999552965165,-0.006953202188014984,0.004171964,1390,0.00025,2960.0,9.35e-05
94,74,141,,7050,-7.174556303024292,8.724308486307564e-07,-1.1193807125091553,1.0165201425552368,-0.017006484992103665,0.2,0.05999999865889549,-0.03645896539092064,0.014471616,1400,0.00025,2960.0,9.35e-05
94,74,142,,7100,-7.175128555297851,7.980952261732454e-07,-14.289230346679688,1.0166521072387695,-0.01721642888709902,0.2,0.14399999976158143,-0.023315204307436943,0.021948518,1410,0.00025,2960.0,9.35e-05
94,75,143,,7150,-7.175964879989624,6.957315122235741e-07,-32.216712951660156,1.016843318939209,-0.01576818341482422,0.2,0.029999999329447746,-0.03339097276329994,0.011674876,1420,0.00025,2960.0,9.35e-05
94,75,144,,7200,-7.176987266540527,5.85547519449392e-07,-0.09780466556549072,1.0171127319335938,-0.016582756190560842,0.2,0.1379999987781048,-0.028162047266960144,0.023987494,1430,0.00025,2960.0,9.35e-05
94,76,145,,7250,-7.178263425827026,1.5151137290558837e-06,-1.7211248874664307,1.0173451900482178,-0.003474960912950209,0.2,0.03799999915063381,-0.01320120319724083,0.008939908,1440,0.00025,2960.0,9.35e-05
94,77,146,,7300,-7.178531217575073,4.838109362026444e-07,-20.68678092956543,1.0171153545379639,-0.010187488471972771,0.2,0.047999999672174457,-0.027698395773768425,0.011448473,1450,0.00025,2960.0,9.35e-05
94,77,147,,7350,-7.177374172210693,3.345071405647104e-07,-64.90247344970703,1.0171096324920654,-0.0005538604672764791,0.2,0.019999999552965164,-0.013583024963736534,0.006841191,1460,0.00025,2960.0,9.35e-05
94,77,148,,7400,-7.177883291244507,8.594215955781692e-07,-4.655697345733643,1.017141342163086,-0.005935542335501509,0.2,0.025999999791383743,-0.01895091123878956,0.006379175,1470,0.00025,2960.0,9.35e-05
95,78,149,,7450,-7.1774763584136965,1.581840683684277e-06,-0.22197914123535156,1.0170265436172485,-0.023247388703748584,0.2,0.04200000017881393,-0.04734766110777855,0.013548995,1480,0.00025,2960.0,9.35e-05
94,79,150,,7500,-7.176839590072632,8.139945578022889e-07,-1.0141119956970215,1.0168988704681396,-0.008571994844824005,0.2,0.06799999885261059,-0.01624304987490177,0.012783846,1490,0.00025,2960.0,9.35e-05
94,79,151,,7550,-7.175908756256104,6.190654318061206e-07,-19.958332061767578,1.0166819095611572,-0.01184291541506539,0.2,0.023999999836087228,-0.03635573759675026,0.008183245,1500,0.00025,2960.0,9.35e-05
94,80,152,,7600,-7.17477855682373,4.241282522343681e-06,-19.06117820739746,1.0164742469787598,-0.018004897961859,0.2,0.06799999997019768,-0.04196189343929291,0.013567551,1510,0.00025,2960.0,9.35e-05
94,80,153,,7650,-7.173373746871948,1.4490198054772918e-06,-16.03961753845215,1.0160775184631348,-0.0007819366795011717,0.2,0.019999999552965164,-0.013432453386485577,0.0063492884,1520,0.00025,2960.0,9.35e-05
94,81,154,,7700,-7.171466064453125,1.4388398312803474e-06,-3.4244046211242676,1.0158008337020874,-0.011446128758136354,0.2,0.037999999895691874,-0.028158463537693024,0.009914354,1530,0.00025,2960.0,9.35e-05
94,81,155,,7750,-7.170353603363037,1.8390836999060412e-06,-0.5940688848495483,1.0155526399612427,-0.015391306834295371,0.2,0.059999999776482585,-0.027155835181474686,0.013073703,1540,0.00025,2960.0,9.35e-05
94,82,156,,7800,-7.169512557983398,8.475619097225718e-07,-4.661367893218994,1.0154916048049927,-0.015995572069586926,0.2,0.04799999892711639,-0.04053068533539772,0.011837564,1550,0.00025,2960.0,9.35e-05
