date,ensemble,dji
2023-01-12,1053546.8345016113,1022725.8466529121
2023-01-13,1059119.3967840287,1026095.2699891251
2023-01-17,1052875.096304609,1014376.603517049
2023-01-18,1033471.984215696,996013.2697042499
2023-01-19,1021350.2497378824,988463.1487141892
2023-01-20,1036642.5739591768,998362.261149939
2023-01-23,1047259.7049663712,1005962.2761531973
2023-01-24,1048763.8882185114,1009085.2674663808
2023-01-25,1049473.812885412,1009380.7755679651
2023-01-26,1062534.0214865396,1015530.0082108954
2023-01-27,1067972.8900650823,1016387.5542597394
2023-01-30,1058316.559327398,1008580.6017919079
2023-01-31,1071616.981574064,1019616.9939242646
2023-02-01,1078918.7126040894,1019824.0482366439
2023-02-02,1094401.5349045158,1018656.8555016797
2023-02-03,1084762.6564773538,1014830.0898524574
2023-02-06,1079019.3955031678,1013783.367205565
2023-02-07,1096368.1580637642,1021730.4201928901
2023-02-08,1091006.482661203,1015518.0897346749
2023-02-09,1082192.0724645706,1008065.7703583055
2023-02-10,1084143.9128632904,1013132.7586212942
2023-02-13,1103199.5923041094,1024399.8083228589
2023-02-14,1103239.664916948,1019713.6270598954
2023-02-15,1104177.6954115082,1020873.6920786885
2023-02-16,1085703.0536168497,1007975.2133085913
2023-02-17,1081273.0813945043,1011859.117534988
2023-02-21,1060733.743814804,991006.6917570066
2023-02-22,1055751.2005827748,988479.0400158166
2023-02-23,1061008.374532562,991734.1861976801
2023-02-24,1048539.0400277574,981653.8428146953
2023-02-27,1050972.6019738005,983812.606032081
2023-02-28,1045735.0644645191,976861.096352584
2023-03-01,1041588.253636215,977014.8680653893
2023-03-02,1051563.815391525,987237.0646849591
2023-03-03,1068758.309657791,998825.3290054464
2023-03-06,1071239.1884641417,1000035.9891242736
2023-03-07,1055145.9340689848,982836.5763078687
2023-03-08,1054848.1561969295,981099.7505182492
2023-03-09,1042256.6182406918,964840.8456930075
2023-03-10,1023073.8714854924,954514.3039826056
2023-03-13,1019552.1088751714,951807.1740112718
2023-03-14,1040718.097549322,961865.7252784221
2023-03-15,1037920.4950298994,953465.2443795913
2023-03-16,1057785.6706423643,964592.3104094686
2023-03-17,1055911.889544464,953088.6439005855
2023-03-20,1055230.0697379452,964533.3606912997
2023-03-21,1070872.0743796995,973986.4650512302
2023-03-22,1054287.7554986188,958117.890322209
2023-03-23,1066230.610947212,960365.5747200239
2023-03-24,1068517.9626110953,964322.4504013195
2023-03-27,1064136.6898004224,970142.0553832895
2023-03-28,1060217.4786514738,969010.4428052775
2023-03-29,1077376.338598419,978682.812073323
2023-03-30,1082228.7868015554,982913.4621642714
2023-03-31,1098921.7359539373,995330.8785167247
2023-04-03,1101246.4005247457,1005112.4420595547
2023-04-04,1096147.2581138837,999166.6414470152
2023-04-05,1091341.898128532,1001569.8502747267
2023-04-06,1097496.0142824706,1001646.7361311294
2023-04-10,1097924.2794351652,1004674.8470257734
2023-04-11,1091093.8665083845,1007614.3872834065
2023-04-12,1090243.498487953,1006469.0450881796
2023-04-13,1109684.2406689986,1017931.4643215156
2023-04-14,1103672.6656079253,1013647.239511478
2023-04-17,1109035.5648300208,1016659.8096479129
2023-04-18,1108671.704606304,1016344.2037236826
2023-04-19,1106301.4931072958,1013962.6117400964
2023-04-20,1103262.982870422,1010660.4927401874
2023-04-21,1103730.832937866,1011328.7453431768
2023-04-24,1098969.2357059668,1013316.0928290385
2023-04-25,1079989.1560382613,1003008.9478544464
2023-04-26,1109934.9654139478,996160.1473964965
2023-04-27,1128673.754449745,1011843.2262333607
2023-04-28,1138349.7271326978,1019979.5726665406
2023-05-01,1136466.9954127271,1018589.7848609879
2023-05-02,1128445.2647837598,1007606.6753282051
2023-05-03,1124262.425264259,999521.3913862834
